date,V39079
1980-01-01,12.90
1981-01-01,14.00
1982-01-01,17.84
1983-01-01,13.94
1984-01-01,9.52
1985-01-01,11.32
1986-01-01,9.73
1987-01-01,9.23
1988-01-01,8.42
1989-01-01,9.72
1990-01-01,12.12
1991-01-01,13.00
1992-01-01,8.83
1993-01-01,6.83
1994-01-01,5.12
1995-01-01,5.83
1996-01-01,7.33
1997-01-01,4.50
1998-01-01,3.25
1999-01-01,5.00
2000-01-01,5.00
2001-01-01,5.75
2002-01-01,2.50
2003-01-01,2.75
2004-01-01,2.50
2005-01-01,2.25
2006-01-01,3.25
2007-01-01,4.25
2008-01-01,4.50
2009-01-01,1.50
2010-01-01,0.25
2011-01-01,1.00
2012-01-01,1.00
2013-01-01,1.00
2014-01-01,1.00
2015-01-01,1.00
2016-01-01,0.50
2017-01-01,0.50
2018-01-01,1.00
2019-01-01,1.75
2020-01-01,1.75
2021-01-01,0.25
2022-01-01,0.25
2023-01-01,4.25
2024-01-01,5.00
2025-01-01,3.25
2026-01-01,2.25
