"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1980-01","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","7.5","","","","1"
"1980-02","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","7.6","","","","1"
"1980-03","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","7.6","","","","1"
"1980-04","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","7.7","","","","1"
"1980-05","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","7.8","","","","1"
"1980-06","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","7.7","","","","1"
"1980-07","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","7.6","","","","1"
"1980-08","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","7.6","","","","1"
"1980-09","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","7.3","","","","1"
"1980-10","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","7.3","","","","1"
"1980-11","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","7.2","","","","1"
"1980-12","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","7.3","","","","1"
"1981-01","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","7.4","","","","1"
"1981-02","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","7.4","","","","1"
"1981-03","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","7.4","","","","1"
"1981-04","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","7.1","","","","1"
"1981-05","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","7.2","","","","1"
"1981-06","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","7.2","","","","1"
"1981-07","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","7.2","","","","1"
"1981-08","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","7.1","","","","1"
"1981-09","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","8.1","","","","1"
"1981-10","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","8.3","","","","1"
"1981-11","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","8.3","","","","1"
"1981-12","Canada","2021A000011124","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2062815","1.7.1.1.1.1","8.7","","","","1"
