"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1980-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","41.8","","","","1"
"1980-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","42.3","","","","1"
"1980-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","42.6","","","","1"
"1980-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","42.9","","","","1"
"1980-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","43.4","","","","1"
"1980-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","43.9","","","","1"
"1980-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","44.2","","","","1"
"1980-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","44.7","","","","1"
"1980-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","45.0","","","","1"
"1980-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","45.4","","","","1"
"1980-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","46.0","","","","1"
"1980-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","46.2","","","","1"
"1981-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","46.9","","","","1"
"1981-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","47.4","","","","1"
"1981-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","48.0","","","","1"
"1981-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","48.3","","","","1"
"1981-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","48.7","","","","1"
"1981-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","49.5","","","","1"
"1981-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","49.9","","","","1"
"1981-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","50.3","","","","1"
"1981-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","50.7","","","","1"
"1981-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","51.2","","","","1"
"1981-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","51.6","","","","1"
"1981-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","51.8","","","","1"
"1982-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","52.2","","","","1"
"1982-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","52.8","","","","1"
"1982-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","53.5","","","","1"
"1982-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","53.8","","","","1"
"1982-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","54.5","","","","1"
"1982-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","55.1","","","","1"
"1982-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","55.4","","","","1"
"1982-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","55.6","","","","1"
"1982-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","55.9","","","","1"
"1982-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","56.3","","","","1"
"1982-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","56.6","","","","1"
"1982-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","56.6","","","","1"
"1983-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","56.5","","","","1"
"1983-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","56.8","","","","1"
"1983-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","57.4","","","","1"
"1983-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","57.4","","","","1"
"1983-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","57.5","","","","1"
"1983-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","58.1","","","","1"
"1983-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","58.4","","","","1"
"1983-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","58.7","","","","1"
"1983-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","58.7","","","","1"
"1983-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","59.1","","","","1"
"1983-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","59.1","","","","1"
"1983-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","59.2","","","","1"
"1984-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","59.6","","","","1"
"1984-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","59.9","","","","1"
"1984-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","60.0","","","","1"
"1984-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","60.2","","","","1"
"1984-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","60.2","","","","1"
"1984-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","60.6","","","","1"
"1984-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","60.8","","","","1"
"1984-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","60.8","","","","1"
"1984-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","60.9","","","","1"
"1984-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","61.1","","","","1"
"1984-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","61.4","","","","1"
"1984-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","61.4","","","","1"
"1985-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","61.7","","","","1"
"1985-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","62.1","","","","1"
"1985-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","62.2","","","","1"
"1985-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","62.5","","","","1"
"1985-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","62.7","","","","1"
"1985-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","63.0","","","","1"
"1985-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","63.3","","","","1"
"1985-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","63.3","","","","1"
"1985-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","63.4","","","","1"
"1985-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","63.6","","","","1"
"1985-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","63.8","","","","1"
"1985-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","64.1","","","","1"
"1986-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","64.4","","","","1"
"1986-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","64.7","","","","1"
"1986-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","64.9","","","","1"
"1986-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","64.9","","","","1"
"1986-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","65.3","","","","1"
"1986-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","65.4","","","","1"
